"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Nashville","198.203.192.53","198.203.192.126","Blocked","mail.gouldelect.com","Drive-by Downloads/Exploits"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Nashville","198.203.192.53","198.203.192.126","Allowed","gouldelect.com","Drive-by Downloads/Exploits"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:45","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:44","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:25","Frankfurt","10.165.156.41","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:23","Nashville","10.166.129.83","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:15","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:15","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:15","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:15","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:15","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:15","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:14","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:14","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:14","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:14","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:14","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:13","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:13","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:13","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:11","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:11","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:11","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:11","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:06","Frankfurt","10.164.112.176","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:03","Nashville","198.203.192.52","198.203.192.126","Blocked","sbcglobel.net","Malware"
"2016-04-26","06:32:59","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:58","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:26","Nashville","10.164.34.158","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:05","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:05","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:05","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:01","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:01","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:32:01","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:31:51","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:31:50","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:31:48","Nashville","10.164.60.153","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:31:48","Nashville","10.166.129.83","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:31:36","Savannah 6th Floor A Users","10.167.6.20","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:31:26","Barbara","10.164.117.205","195.245.90.57","Blocked","www.santillana.cl","Malware"
"2016-04-26","06:30:48","Nashville","10.164.34.158","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:30:43","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:30:42","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:30:09","Savannah 6th Floor B Users ","10.167.16.126","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:29:57","Frankfurt","10.165.156.41","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
